model,dataset,eval_accuracy
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_logical_deduction_three_objects,0.756
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_movie_recommendation,0.652
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_navigate,0.62
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_object_counting,0.372
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_penguins_in_a_table,0.4520547945205479
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_reasoning_about_colored_objects,0.492
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_ruin_names,0.544
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_salient_translation_error_detection,0.508
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_snarks,0.651685393258427
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_sports_understanding,0.576
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_five_objects,0.128
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_three_objects,0.276
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_web_of_lies,0.5
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,gpqa,0.299496644295302
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,gpqa_diamond,0.3232323232323232
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,GPQA,0.3214285714285714
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,math_counting_and_prob_hard,0.0772357723577235
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,math_hard,0.0925226586102719
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,math_num_theory_hard,0.0357142857142857
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,math_prealgebra_hard,0.2227979274611399
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,MMLU-Pro,0.3769115691489361
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,musr,0.4298941798941799
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,Big-bench Hard,0.3292831105710814
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_boolean_expressions,0.764
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_causal_judgement,0.46524064171123
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_date_understanding,0.296
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_disambiguation_qa,0.34
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_geometric_shapes,0.128
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_hyperbaton,0.484
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_five_objects,0.228
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_three_objects,0.348
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_movie_recommendation,0.476
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_object_counting,0.296
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_reasoning_about_colored_objects,0.164
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_ruin_names,0.108
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_salient_translation_error_detection,0.18
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_snarks,0.4157303370786517
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_temporal_sequences,0.136
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_five_objects,0.2
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_seven_objects,0.116
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_three_objects,0.36
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_web_of_lies,0.488
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa,0.2793624161073825
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_diamond,0.2676767676767677
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_extended,0.2912087912087912
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,GPQA,0.2700892857142857
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_algebra_hard,0.0325732899022801
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_counting_and_prob_hard,0.0
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_intermediate_algebra_hard,0.0071428571428571
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_num_theory_hard,0.0097402597402597
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_prealgebra_hard,0.0284974093264248
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_precalculus_hard,0.0
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,MMLU-Pro,0.1540890957446808
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr,0.3293650793650793
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_murder_mysteries,0.508
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_object_placements,0.22265625
12b-mn-dans-reasoning-test-2,Big-bench Hard,0.4770005207429266
12b-mn-dans-reasoning-test-2,bbh_boolean_expressions,0.832
12b-mn-dans-reasoning-test-2,bbh_causal_judgement,0.679144385026738
12b-mn-dans-reasoning-test-2,bbh_formal_fallacies,0.524
12b-mn-dans-reasoning-test-2,bbh_geometric_shapes,0.372
12b-mn-dans-reasoning-test-2,bbh_hyperbaton,0.516
12b-mn-dans-reasoning-test-2,bbh_logical_deduction_seven_objects,0.324
12b-mn-dans-reasoning-test-2,bbh_movie_recommendation,0.8
12b-mn-dans-reasoning-test-2,bbh_navigate,0.492
12b-mn-dans-reasoning-test-2,bbh_object_counting,0.332
12b-mn-dans-reasoning-test-2,bbh_reasoning_about_colored_objects,0.472
12b-mn-dans-reasoning-test-2,bbh_ruin_names,0.468
12b-mn-dans-reasoning-test-2,bbh_salient_translation_error_detection,0.432
12b-mn-dans-reasoning-test-2,bbh_sports_understanding,0.696
12b-mn-dans-reasoning-test-2,bbh_temporal_sequences,0.244
12b-mn-dans-reasoning-test-2,bbh_tracking_shuffled_objects_five_objects,0.18
12b-mn-dans-reasoning-test-2,bbh_tracking_shuffled_objects_seven_objects,0.124
12b-mn-dans-reasoning-test-2,bbh_web_of_lies,0.492
12b-mn-dans-reasoning-test-2,gpqa_extended,0.2838827838827839
12b-mn-dans-reasoning-test-2,GPQA,0.2611607142857143
12b-mn-dans-reasoning-test-2,math_counting_and_prob_hard,0.073170731707317
12b-mn-dans-reasoning-test-2,math_geometry_hard,0.0378787878787878
12b-mn-dans-reasoning-test-2,math_hard,0.0634441087613293
12b-mn-dans-reasoning-test-2,math_intermediate_algebra_hard,0.0178571428571428
12b-mn-dans-reasoning-test-2,math_prealgebra_hard,0.1347150259067357
12b-mn-dans-reasoning-test-2,math_precalculus_hard,0.0074074074074074
12b-mn-dans-reasoning-test-2,MMLU-Pro,0.2507480053191489
12b-mn-dans-reasoning-test-2,musr,0.369047619047619
12b-mn-dans-reasoning-test-2,musr_object_placements,0.22265625
12b-mn-dans-reasoning-test-3,Big-bench Hard,0.4829022739107794
12b-mn-dans-reasoning-test-3,bbh_boolean_expressions,0.824
12b-mn-dans-reasoning-test-3,bbh_causal_judgement,0.6310160427807486
12b-mn-dans-reasoning-test-3,bbh_date_understanding,0.56
12b-mn-dans-reasoning-test-3,bbh_disambiguation_qa,0.532
12b-mn-dans-reasoning-test-3,bbh_formal_fallacies,0.468
12b-mn-dans-reasoning-test-3,bbh_geometric_shapes,0.464
12b-mn-dans-reasoning-test-3,bbh_hyperbaton,0.588
12b-mn-dans-reasoning-test-3,bbh_logical_deduction_five_objects,0.36
12b-mn-dans-reasoning-test-3,bbh_logical_deduction_seven_objects,0.304
12b-mn-dans-reasoning-test-3,bbh_logical_deduction_three_objects,0.512
12b-mn-dans-reasoning-test-3,bbh_object_counting,0.336
12b-mn-dans-reasoning-test-3,bbh_penguins_in_a_table,0.410958904109589
12b-mn-dans-reasoning-test-3,bbh_reasoning_about_colored_objects,0.416
12b-mn-dans-reasoning-test-3,bbh_ruin_names,0.728
12b-mn-dans-reasoning-test-3,bbh_salient_translation_error_detection,0.472
12b-mn-dans-reasoning-test-3,bbh_snarks,0.5393258426966292
12b-mn-dans-reasoning-test-3,bbh_sports_understanding,0.688
12b-mn-dans-reasoning-test-3,bbh_temporal_sequences,0.248
12b-mn-dans-reasoning-test-3,bbh_tracking_shuffled_objects_five_objects,0.224
12b-mn-dans-reasoning-test-3,bbh_tracking_shuffled_objects_seven_objects,0.144
12b-mn-dans-reasoning-test-3,bbh_tracking_shuffled_objects_three_objects,0.348
12b-mn-dans-reasoning-test-3,gpqa,0.2709731543624161
12b-mn-dans-reasoning-test-3,gpqa_diamond,0.2474747474747475
12b-mn-dans-reasoning-test-3,gpqa_extended,0.2783882783882784
12b-mn-dans-reasoning-test-3,GPQA,0.2723214285714285
12b-mn-dans-reasoning-test-3,math_algebra_hard,0.1172638436482084
12b-mn-dans-reasoning-test-3,math_counting_and_prob_hard,0.073170731707317
12b-mn-dans-reasoning-test-3,math_geometry_hard,0.0378787878787878
12b-mn-dans-reasoning-test-3,math_hard,0.0777945619335347
12b-mn-dans-reasoning-test-3,math_intermediate_algebra_hard,0.0321428571428571
12b-mn-dans-reasoning-test-3,math_num_theory_hard,0.0454545454545454
12b-mn-dans-reasoning-test-3,math_prealgebra_hard,0.1813471502590673
12b-mn-dans-reasoning-test-3,math_precalculus_hard,0.0148148148148148
12b-mn-dans-reasoning-test-3,MMLU-Pro,0.2515791223404255
12b-mn-dans-reasoning-test-3,musr,0.4153439153439153
12b-mn-dans-reasoning-test-3,musr_murder_mysteries,0.528
12b-mn-dans-reasoning-test-3,musr_object_placements,0.23828125
12b-mn-dans-reasoning-test-3,musr_team_allocation,0.484
13-outof-32-pruned-layers-llama3-1-8b,bbh_boolean_expressions,0.46
13-outof-32-pruned-layers-llama3-1-8b,bbh_causal_judgement,0.5187165775401069
13-outof-32-pruned-layers-llama3-1-8b,bbh_date_understanding,0.188
13-outof-32-pruned-layers-llama3-1-8b,bbh_formal_fallacies,0.468
13-outof-32-pruned-layers-llama3-1-8b,bbh_hyperbaton,0.52
13-outof-32-pruned-layers-llama3-1-8b,bbh_logical_deduction_three_objects,0.32
13-outof-32-pruned-layers-llama3-1-8b,bbh_movie_recommendation,0.276
13-outof-32-pruned-layers-llama3-1-8b,bbh_navigate,0.42
13-outof-32-pruned-layers-llama3-1-8b,bbh_object_counting,0.076
13-outof-32-pruned-layers-llama3-1-8b,bbh_reasoning_about_colored_objects,0.06
13-outof-32-pruned-layers-llama3-1-8b,bbh_salient_translation_error_detection,0.116
13-outof-32-pruned-layers-llama3-1-8b,bbh_sports_understanding,0.46
13-outof-32-pruned-layers-llama3-1-8b,bbh_temporal_sequences,0.224
13-outof-32-pruned-layers-llama3-1-8b,bbh_tracking_shuffled_objects_five_objects,0.208
13-outof-32-pruned-layers-llama3-1-8b,bbh_tracking_shuffled_objects_seven_objects,0.132
13-outof-32-pruned-layers-llama3-1-8b,bbh_tracking_shuffled_objects_three_objects,0.32
13-outof-32-pruned-layers-llama3-1-8b,bbh_web_of_lies,0.488
13-outof-32-pruned-layers-llama3-1-8b,gpqa,0.259228187919463
13-outof-32-pruned-layers-llama3-1-8b,gpqa_diamond,0.2525252525252525
13-outof-32-pruned-layers-llama3-1-8b,gpqa_extended,0.2637362637362637
13-outof-32-pruned-layers-llama3-1-8b,GPQA,0.2566964285714285
13-outof-32-pruned-layers-llama3-1-8b,math_counting_and_prob_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,math_geometry_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,math_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,math_intermediate_algebra_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,math_num_theory_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,math_precalculus_hard,0.0
13-outof-32-pruned-layers-llama3-1-8b,MMLU-Pro,0.1128656914893617
13-outof-32-pruned-layers-llama3-1-8b,musr,0.3796296296296296
13-outof-32-pruned-layers-llama3-1-8b,musr_object_placements,0.29296875
14b,Big-bench Hard,0.467453567089047
14b,bbh_date_understanding,0.468
14b,bbh_disambiguation_qa,0.532
14b,bbh_geometric_shapes,0.464
14b,bbh_logical_deduction_seven_objects,0.344
14b,bbh_movie_recommendation,0.668
14b,bbh_navigate,0.596
14b,bbh_object_counting,0.384
14b,bbh_penguins_in_a_table,0.4383561643835616
14b,bbh_ruin_names,0.368
14b,bbh_salient_translation_error_detection,0.364
14b,bbh_sports_understanding,0.7440000000000001
14b,bbh_temporal_sequences,0.256
14b,bbh_tracking_shuffled_objects_five_objects,0.176
14b,bbh_tracking_shuffled_objects_seven_objects,0.14
14b,bbh_tracking_shuffled_objects_three_objects,0.348
14b,gpqa_diamond,0.308080808080808
14b,GPQA,0.3102678571428571
14b,math_counting_and_prob_hard,0.035230352303523
14b,math_geometry_hard,0.0101010101010101
14b,math_hard,0.0495971802618328
14b,math_intermediate_algebra_hard,0.0107142857142857
14b,math_prealgebra_hard,0.0915371329879101
14b,math_precalculus_hard,0.0172839506172839
14b,MMLU-Pro,0.3221409574468085
14b,musr,0.4153439153439153
14b,musr_murder_mysteries,0.548
14b,musr_object_placements,0.3984375
14b,musr_team_allocation,0.3
1parammyl-8b-modelstock,Big-bench Hard,0.5191806977955216
1parammyl-8b-modelstock,bbh_causal_judgement,0.5882352941176471
1parammyl-8b-modelstock,bbh_date_understanding,0.408
1parammyl-8b-modelstock,bbh_disambiguation_qa,0.532
1parammyl-8b-modelstock,bbh_formal_fallacies,0.552
1parammyl-8b-modelstock,bbh_geometric_shapes,0.384
1parammyl-8b-modelstock,bbh_hyperbaton,0.6880000000000001
1parammyl-8b-modelstock,bbh_logical_deduction_five_objects,0.364
1parammyl-8b-modelstock,bbh_logical_deduction_three_objects,0.592
1parammyl-8b-modelstock,bbh_movie_recommendation,0.588
1parammyl-8b-modelstock,bbh_navigate,0.628
1parammyl-8b-modelstock,bbh_object_counting,0.42
1parammyl-8b-modelstock,bbh_penguins_in_a_table,0.4931506849315068
1parammyl-8b-modelstock,bbh_reasoning_about_colored_objects,0.612
1parammyl-8b-modelstock,bbh_ruin_names,0.7200000000000001
1parammyl-8b-modelstock,bbh_snarks,0.6966292134831461
1parammyl-8b-modelstock,bbh_sports_understanding,0.7120000000000001
1parammyl-8b-modelstock,bbh_temporal_sequences,0.484
1parammyl-8b-modelstock,bbh_tracking_shuffled_objects_five_objects,0.24
1parammyl-8b-modelstock,bbh_tracking_shuffled_objects_seven_objects,0.188
1parammyl-8b-modelstock,bbh_tracking_shuffled_objects_three_objects,0.344
1parammyl-8b-modelstock,bbh_web_of_lies,0.552
1parammyl-8b-modelstock,gpqa,0.3238255033557047
1parammyl-8b-modelstock,gpqa_diamond,0.2828282828282828
1parammyl-8b-modelstock,gpqa_extended,0.3351648351648351
1parammyl-8b-modelstock,GPQA,0.328125
1parammyl-8b-modelstock,math_algebra_hard,0.2812160694896851
1parammyl-8b-modelstock,math_counting_and_prob_hard,0.08130081300813
1parammyl-8b-modelstock,math_geometry_hard,0.0707070707070707
1parammyl-8b-modelstock,math_hard,0.1424974823766364
1parammyl-8b-modelstock,math_intermediate_algebra_hard,0.0214285714285714
1parammyl-8b-modelstock,math_num_theory_hard,0.1038961038961038
1parammyl-8b-modelstock,math_prealgebra_hard,0.2659758203799654
1parammyl-8b-modelstock,math_precalculus_hard,0.0716049382716049
1parammyl-8b-modelstock,musr,0.4404761904761904
1parammyl-8b-modelstock,musr_murder_mysteries,0.58
1parammyl-8b-modelstock,musr_object_placements,0.3828125
1parammyl-8b-modelstock,musr_team_allocation,0.36
1up-14b,Big-bench Hard,0.6899843777122028
1up-14b,bbh_boolean_expressions,0.916
1up-14b,bbh_date_understanding,0.756
1up-14b,bbh_disambiguation_qa,0.724
1up-14b,bbh_formal_fallacies,0.784
1up-14b,bbh_geometric_shapes,0.44
1up-14b,bbh_hyperbaton,0.84
1up-14b,bbh_logical_deduction_seven_objects,0.552
1up-14b,bbh_logical_deduction_three_objects,0.94
1up-14b,bbh_navigate,0.704
1up-14b,bbh_penguins_in_a_table,0.7397260273972602
1up-14b,bbh_reasoning_about_colored_objects,0.844
1up-14b,bbh_sports_understanding,0.768
1up-14b,bbh_temporal_sequences,1.0
1up-14b,bbh_tracking_shuffled_objects_five_objects,0.288
1up-14b,bbh_tracking_shuffled_objects_seven_objects,0.34
1up-14b,bbh_tracking_shuffled_objects_three_objects,0.408
1up-14b,bbh_web_of_lies,0.556
1up-14b,gpqa,0.3624161073825503
1up-14b,gpqa_diamond,0.3686868686868687
1up-14b,gpqa_extended,0.3626373626373626
1up-14b,GPQA,0.359375
1up-14b,math_algebra_hard,0.6677524429967426
1up-14b,math_geometry_hard,0.1969696969696969
1up-14b,math_hard,0.4161631419939577
1up-14b,math_intermediate_algebra_hard,0.1928571428571428
1up-14b,math_num_theory_hard,0.487012987012987
1up-14b,math_prealgebra_hard,0.6321243523316062
1up-14b,math_precalculus_hard,0.1703703703703703
1up-14b,MMLU-Pro,0.5406416223404256
1up-14b,musr,0.4576719576719577
1up-14b,musr_object_placements,0.375
1up-14b,musr_team_allocation,0.44
2b-ad,Big-bench Hard,0.4079152924839437
2b-ad,bbh_boolean_expressions,0.7680000000000001
2b-ad,bbh_causal_judgement,0.4919786096256685
2b-ad,bbh_disambiguation_qa,0.424
2b-ad,bbh_hyperbaton,0.532
2b-ad,bbh_logical_deduction_five_objects,0.216
2b-ad,bbh_logical_deduction_seven_objects,0.224
2b-ad,bbh_logical_deduction_three_objects,0.36
2b-ad,bbh_navigate,0.584
2b-ad,bbh_penguins_in_a_table,0.3493150684931507
2b-ad,bbh_reasoning_about_colored_objects,0.34
2b-ad,bbh_snarks,0.5280898876404494
2b-ad,bbh_sports_understanding,0.58
2b-ad,bbh_tracking_shuffled_objects_five_objects,0.196
2b-ad,bbh_tracking_shuffled_objects_three_objects,0.348
2b-ad,bbh_web_of_lies,0.528
2b-ad,gpqa,0.2810402684563758
2b-ad,gpqa_diamond,0.2575757575757575
2b-ad,gpqa_extended,0.3076923076923077
2b-ad,GPQA,0.2589285714285714
2b-ad,math_algebra_hard,0.0846905537459283
2b-ad,math_counting_and_prob_hard,0.008130081300813
2b-ad,math_geometry_hard,0.0075757575757575
2b-ad,math_intermediate_algebra_hard,0.0083333333333333
2b-ad,math_num_theory_hard,0.0432900432900432
2b-ad,math_precalculus_hard,0.0098765432098765
2b-ad,MMLU-Pro,0.2662067819148936
2b-ad,musr,0.4007936507936508
2b-ad,musr_murder_mysteries,0.528
2b-ad,musr_object_placements,0.30859375
2b-or-not-2b,Big-bench Hard,0.3396979691025864
2b-or-not-2b,bbh_boolean_expressions,0.644
2b-or-not-2b,bbh_causal_judgement,0.5080213903743316
2b-or-not-2b,bbh_disambiguation_qa,0.3960000000000001
2b-or-not-2b,bbh_geometric_shapes,0.248
2b-or-not-2b,bbh_hyperbaton,0.488
2b-or-not-2b,bbh_logical_deduction_five_objects,0.196
