task,dataset,model,metric,value
Question Answering,bbh_movie_recommendation,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.432
Question Answering,bbh_navigate,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.548
Question Answering,bbh_object_counting,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.292
Question Answering,bbh_penguins_in_a_table,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2465753424657534
Question Answering,bbh_reasoning_about_colored_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.168
Question Answering,bbh_ruin_names,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.164
Question Answering,bbh_salient_translation_error_detection,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.168
Question Answering,bbh_snarks,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.4269662921348314
Question Answering,bbh_sports_understanding,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.528
Question Answering,bbh_temporal_sequences,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.148
Question Answering,bbh_tracking_shuffled_objects_five_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.184
Question Answering,bbh_tracking_shuffled_objects_seven_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.128
Question Answering,bbh_tracking_shuffled_objects_three_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.34
Question Answering,bbh_web_of_lies,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.488
Question Answering,gpqa,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2692953020134228
Question Answering,gpqa_diamond,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2525252525252525
Question Answering,gpqa_extended,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2747252747252747
Question Answering,GPQA,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2700892857142857
Question Answering,math_algebra_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0423452768729641
Question Answering,math_counting_and_prob_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0040650406504065
Question Answering,math_geometry_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0189393939393939
Question Answering,math_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0203927492447129
Question Answering,math_intermediate_algebra_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0035714285714285
Question Answering,math_num_theory_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0129870129870129
Question Answering,math_prealgebra_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.038860103626943
Question Answering,math_precalculus_hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0037037037037037
Question Answering,MMLU-Pro,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy,0.1497672872340425
Question Answering,musr,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.3293650793650793
Question Answering,musr_murder_mysteries,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.496
Question Answering,musr_object_placements,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.22265625
Question Answering,musr_team_allocation,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.272
Question Answering,Big-bench Hard,10prymmal-3b-slerp,accuracy_norm,0.5299427182780767
Question Answering,bbh_boolean_expressions,10prymmal-3b-slerp,accuracy_norm,0.88
Question Answering,bbh_causal_judgement,10prymmal-3b-slerp,accuracy_norm,0.6256684491978609
Question Answering,bbh_date_understanding,10prymmal-3b-slerp,accuracy_norm,0.652
Question Answering,bbh_disambiguation_qa,10prymmal-3b-slerp,accuracy_norm,0.748
Question Answering,bbh_formal_fallacies,10prymmal-3b-slerp,accuracy_norm,0.62
Question Answering,bbh_geometric_shapes,10prymmal-3b-slerp,accuracy_norm,0.3
Question Answering,bbh_hyperbaton,10prymmal-3b-slerp,accuracy_norm,0.848
Question Answering,bbh_logical_deduction_five_objects,10prymmal-3b-slerp,accuracy_norm,0.508
Question Answering,bbh_logical_deduction_seven_objects,10prymmal-3b-slerp,accuracy_norm,0.508
Question Answering,bbh_logical_deduction_three_objects,10prymmal-3b-slerp,accuracy_norm,0.788
Question Answering,bbh_movie_recommendation,10prymmal-3b-slerp,accuracy_norm,0.712
Question Answering,bbh_navigate,10prymmal-3b-slerp,accuracy_norm,0.612
Question Answering,bbh_object_counting,10prymmal-3b-slerp,accuracy_norm,0.396
Question Answering,bbh_penguins_in_a_table,10prymmal-3b-slerp,accuracy_norm,0.4657534246575342
Question Answering,bbh_reasoning_about_colored_objects,10prymmal-3b-slerp,accuracy_norm,0.512
Question Answering,bbh_ruin_names,10prymmal-3b-slerp,accuracy_norm,0.484
Question Answering,bbh_salient_translation_error_detection,10prymmal-3b-slerp,accuracy_norm,0.496
Question Answering,bbh_snarks,10prymmal-3b-slerp,accuracy_norm,0.7134831460674157
Question Answering,bbh_sports_understanding,10prymmal-3b-slerp,accuracy_norm,0.604
Question Answering,bbh_temporal_sequences,10prymmal-3b-slerp,accuracy_norm,0.26
Question Answering,bbh_tracking_shuffled_objects_five_objects,10prymmal-3b-slerp,accuracy_norm,0.136
Question Answering,bbh_tracking_shuffled_objects_seven_objects,10prymmal-3b-slerp,accuracy_norm,0.156
Question Answering,bbh_tracking_shuffled_objects_three_objects,10prymmal-3b-slerp,accuracy_norm,0.264
Question Answering,bbh_web_of_lies,10prymmal-3b-slerp,accuracy_norm,0.48
Question Answering,gpqa,10prymmal-3b-slerp,accuracy_norm,0.3213087248322148
Question Answering,gpqa_diamond,10prymmal-3b-slerp,accuracy_norm,0.3333333333333333
Question Answering,gpqa_extended,10prymmal-3b-slerp,accuracy_norm,0.3131868131868132
Question Answering,GPQA,10prymmal-3b-slerp,accuracy_norm,0.3258928571428571
Question Answering,math_algebra_hard,10prymmal-3b-slerp,exact_match,0.2149837133550488
Question Answering,math_counting_and_prob_hard,10prymmal-3b-slerp,exact_match,0.1138211382113821
Question Answering,math_geometry_hard,10prymmal-3b-slerp,exact_match,0.0189393939393939
Question Answering,math_hard,10prymmal-3b-slerp,exact_match,0.1132930513595166
Question Answering,math_intermediate_algebra_hard,10prymmal-3b-slerp,exact_match,0.0160714285714285
Question Answering,math_num_theory_hard,10prymmal-3b-slerp,exact_match,0.0568181818181818
Question Answering,math_prealgebra_hard,10prymmal-3b-slerp,exact_match,0.2603626943005181
Question Answering,math_precalculus_hard,10prymmal-3b-slerp,exact_match,0.0296296296296296
Question Answering,MMLU-Pro,10prymmal-3b-slerp,accuracy,0.3881316489361702
Question Answering,musr,10prymmal-3b-slerp,accuracy_norm,0.4523809523809524
Question Answering,musr_murder_mysteries,10prymmal-3b-slerp,accuracy_norm,0.56
Question Answering,musr_object_placements,10prymmal-3b-slerp,accuracy_norm,0.38671875
Question Answering,musr_team_allocation,10prymmal-3b-slerp,accuracy_norm,0.412
Question Answering,Big-bench Hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.5203957646241972
Question Answering,bbh_boolean_expressions,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.756
Question Answering,bbh_causal_judgement,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.5882352941176471
Question Answering,bbh_date_understanding,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.552
Question Answering,bbh_disambiguation_qa,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.76
Question Answering,bbh_formal_fallacies,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.604
Question Answering,bbh_geometric_shapes,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.312
Question Answering,bbh_hyperbaton,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.812
Question Answering,bbh_logical_deduction_five_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.52
Question Answering,bbh_logical_deduction_seven_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.488
Question Answering,bbh_logical_deduction_three_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.756
Question Answering,bbh_movie_recommendation,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.652
Question Answering,bbh_navigate,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.62
Question Answering,bbh_object_counting,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.372
Question Answering,bbh_penguins_in_a_table,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.4520547945205479
Question Answering,bbh_reasoning_about_colored_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.492
Question Answering,bbh_ruin_names,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.544
Question Answering,bbh_salient_translation_error_detection,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.508
Question Answering,bbh_snarks,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.651685393258427
Question Answering,bbh_sports_understanding,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.576
Question Answering,bbh_temporal_sequences,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.44
Question Answering,bbh_tracking_shuffled_objects_five_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.128
Question Answering,bbh_tracking_shuffled_objects_seven_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.156
Question Answering,bbh_tracking_shuffled_objects_three_objects,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.276
Question Answering,bbh_web_of_lies,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.5
Question Answering,gpqa,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.299496644295302
Question Answering,gpqa_diamond,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.3232323232323232
Question Answering,gpqa_extended,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.2728937728937728
Question Answering,GPQA,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.3214285714285714
Question Answering,math_algebra_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.1807817589576547
Question Answering,math_counting_and_prob_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0772357723577235
Question Answering,math_geometry_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0303030303030303
Question Answering,math_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0925226586102719
Question Answering,math_intermediate_algebra_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0125
Question Answering,math_num_theory_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0357142857142857
Question Answering,math_prealgebra_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.2227979274611399
Question Answering,math_precalculus_hard,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,exact_match,0.0111111111111111
Question Answering,MMLU-Pro,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy,0.3769115691489361
Question Answering,musr,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.4298941798941799
Question Answering,musr_murder_mysteries,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.584
Question Answering,musr_object_placements,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.296875
Question Answering,musr_team_allocation,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,accuracy_norm,0.412
Question Answering,Big-bench Hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.3292831105710814
Question Answering,bbh_boolean_expressions,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.764
Question Answering,bbh_causal_judgement,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.46524064171123
Question Answering,bbh_date_understanding,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.296
Question Answering,bbh_disambiguation_qa,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.34
Question Answering,bbh_formal_fallacies,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.464
Question Answering,bbh_geometric_shapes,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.128
Question Answering,bbh_hyperbaton,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.484
Question Answering,bbh_logical_deduction_five_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.228
Question Answering,bbh_logical_deduction_seven_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.148
Question Answering,bbh_logical_deduction_three_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.348
Question Answering,bbh_movie_recommendation,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.476
Question Answering,bbh_navigate,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.56
Question Answering,bbh_object_counting,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.296
Question Answering,bbh_penguins_in_a_table,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2602739726027397
Question Answering,bbh_reasoning_about_colored_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.164
Question Answering,bbh_ruin_names,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.108
Question Answering,bbh_salient_translation_error_detection,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.18
Question Answering,bbh_snarks,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.4157303370786517
Question Answering,bbh_sports_understanding,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.508
Question Answering,bbh_temporal_sequences,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.136
Question Answering,bbh_tracking_shuffled_objects_five_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2
Question Answering,bbh_tracking_shuffled_objects_seven_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.116
Question Answering,bbh_tracking_shuffled_objects_three_objects,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.36
Question Answering,bbh_web_of_lies,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.488
Question Answering,gpqa,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2793624161073825
Question Answering,gpqa_diamond,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2676767676767677
Question Answering,gpqa_extended,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2912087912087912
Question Answering,GPQA,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.2700892857142857
Question Answering,math_algebra_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0325732899022801
Question Answering,math_counting_and_prob_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0
Question Answering,math_geometry_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0113636363636363
Question Answering,math_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0154833836858006
Question Answering,math_intermediate_algebra_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0071428571428571
Question Answering,math_num_theory_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0097402597402597
Question Answering,math_prealgebra_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0284974093264248
Question Answering,math_precalculus_hard,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,exact_match,0.0
Question Answering,MMLU-Pro,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy,0.1540890957446808
Question Answering,musr,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.3293650793650793
Question Answering,musr_murder_mysteries,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.508
Question Answering,musr_object_placements,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.22265625
Question Answering,musr_team_allocation,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.26
Question Answering,Big-bench Hard,12b-mn-dans-reasoning-test-2,accuracy_norm,0.4770005207429266
Question Answering,bbh_boolean_expressions,12b-mn-dans-reasoning-test-2,accuracy_norm,0.832
Question Answering,bbh_causal_judgement,12b-mn-dans-reasoning-test-2,accuracy_norm,0.679144385026738
Question Answering,bbh_date_understanding,12b-mn-dans-reasoning-test-2,accuracy_norm,0.596
Question Answering,bbh_disambiguation_qa,12b-mn-dans-reasoning-test-2,accuracy_norm,0.572
Question Answering,bbh_formal_fallacies,12b-mn-dans-reasoning-test-2,accuracy_norm,0.524
Question Answering,bbh_geometric_shapes,12b-mn-dans-reasoning-test-2,accuracy_norm,0.372
Question Answering,bbh_hyperbaton,12b-mn-dans-reasoning-test-2,accuracy_norm,0.516
Question Answering,bbh_logical_deduction_five_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.34
Question Answering,bbh_logical_deduction_seven_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.324
Question Answering,bbh_logical_deduction_three_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.612
Question Answering,bbh_movie_recommendation,12b-mn-dans-reasoning-test-2,accuracy_norm,0.8
Question Answering,bbh_navigate,12b-mn-dans-reasoning-test-2,accuracy_norm,0.492
Question Answering,bbh_object_counting,12b-mn-dans-reasoning-test-2,accuracy_norm,0.332
Question Answering,bbh_penguins_in_a_table,12b-mn-dans-reasoning-test-2,accuracy_norm,0.4589041095890411
Question Answering,bbh_reasoning_about_colored_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.472
Question Answering,bbh_ruin_names,12b-mn-dans-reasoning-test-2,accuracy_norm,0.468
Question Answering,bbh_salient_translation_error_detection,12b-mn-dans-reasoning-test-2,accuracy_norm,0.432
Question Answering,bbh_snarks,12b-mn-dans-reasoning-test-2,accuracy_norm,0.6348314606741573
Question Answering,bbh_sports_understanding,12b-mn-dans-reasoning-test-2,accuracy_norm,0.696
Question Answering,bbh_temporal_sequences,12b-mn-dans-reasoning-test-2,accuracy_norm,0.244
Question Answering,bbh_tracking_shuffled_objects_five_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.18
Question Answering,bbh_tracking_shuffled_objects_seven_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.124
Question Answering,bbh_tracking_shuffled_objects_three_objects,12b-mn-dans-reasoning-test-2,accuracy_norm,0.344
Question Answering,bbh_web_of_lies,12b-mn-dans-reasoning-test-2,accuracy_norm,0.492
Question Answering,gpqa,12b-mn-dans-reasoning-test-2,accuracy_norm,0.273489932885906
Question Answering,gpqa_diamond,12b-mn-dans-reasoning-test-2,accuracy_norm,0.2727272727272727
Question Answering,gpqa_extended,12b-mn-dans-reasoning-test-2,accuracy_norm,0.2838827838827839
Question Answering,GPQA,12b-mn-dans-reasoning-test-2,accuracy_norm,0.2611607142857143
Question Answering,math_algebra_hard,12b-mn-dans-reasoning-test-2,exact_match,0.1042345276872964
Question Answering,math_counting_and_prob_hard,12b-mn-dans-reasoning-test-2,exact_match,0.073170731707317
Question Answering,math_geometry_hard,12b-mn-dans-reasoning-test-2,exact_match,0.0378787878787878
Question Answering,math_hard,12b-mn-dans-reasoning-test-2,exact_match,0.0634441087613293
Question Answering,math_intermediate_algebra_hard,12b-mn-dans-reasoning-test-2,exact_match,0.0178571428571428
Question Answering,math_num_theory_hard,12b-mn-dans-reasoning-test-2,exact_match,0.0389610389610389
Question Answering,math_prealgebra_hard,12b-mn-dans-reasoning-test-2,exact_match,0.1347150259067357
Question Answering,math_precalculus_hard,12b-mn-dans-reasoning-test-2,exact_match,0.0074074074074074
Question Answering,MMLU-Pro,12b-mn-dans-reasoning-test-2,accuracy,0.2507480053191489
Question Answering,musr,12b-mn-dans-reasoning-test-2,accuracy_norm,0.369047619047619
Question Answering,musr_murder_mysteries,12b-mn-dans-reasoning-test-2,accuracy_norm,0.516
Question Answering,musr_object_placements,12b-mn-dans-reasoning-test-2,accuracy_norm,0.22265625
Question Answering,musr_team_allocation,12b-mn-dans-reasoning-test-2,accuracy_norm,0.372
Question Answering,Big-bench Hard,12b-mn-dans-reasoning-test-3,accuracy_norm,0.4829022739107794
Question Answering,bbh_boolean_expressions,12b-mn-dans-reasoning-test-3,accuracy_norm,0.824
Question Answering,bbh_causal_judgement,12b-mn-dans-reasoning-test-3,accuracy_norm,0.6310160427807486
Question Answering,bbh_date_understanding,12b-mn-dans-reasoning-test-3,accuracy_norm,0.56
Question Answering,bbh_disambiguation_qa,12b-mn-dans-reasoning-test-3,accuracy_norm,0.532
Question Answering,bbh_formal_fallacies,12b-mn-dans-reasoning-test-3,accuracy_norm,0.468
Question Answering,bbh_geometric_shapes,12b-mn-dans-reasoning-test-3,accuracy_norm,0.464
Question Answering,bbh_hyperbaton,12b-mn-dans-reasoning-test-3,accuracy_norm,0.588
Question Answering,bbh_logical_deduction_five_objects,12b-mn-dans-reasoning-test-3,accuracy_norm,0.36
Question Answering,bbh_logical_deduction_seven_objects,12b-mn-dans-reasoning-test-3,accuracy_norm,0.304
Question Answering,bbh_logical_deduction_three_objects,12b-mn-dans-reasoning-test-3,accuracy_norm,0.512
Question Answering,bbh_movie_recommendation,12b-mn-dans-reasoning-test-3,accuracy_norm,0.804
Question Answering,bbh_navigate,12b-mn-dans-reasoning-test-3,accuracy_norm,0.504
Question Answering,bbh_object_counting,12b-mn-dans-reasoning-test-3,accuracy_norm,0.336
Question Answering,bbh_penguins_in_a_table,12b-mn-dans-reasoning-test-3,accuracy_norm,0.410958904109589
Question Answering,bbh_reasoning_about_colored_objects,12b-mn-dans-reasoning-test-3,accuracy_norm,0.416
Question Answering,bbh_ruin_names,12b-mn-dans-reasoning-test-3,accuracy_norm,0.728
Question Answering,bbh_salient_translation_error_detection,12b-mn-dans-reasoning-test-3,accuracy_norm,0.472
Question Answering,bbh_snarks,12b-mn-dans-reasoning-test-3,accuracy_norm,0.5393258426966292
Question Answering,bbh_sports_understanding,12b-mn-dans-reasoning-test-3,accuracy_norm,0.688
