dataset,dataset_desp
musr_object_placements,"Multistep Soft Reasoning (MuSR) evaluates models’ ability to perform reasoning and understanding over long texts, requiring multi-step inference and long-context comprehension.

This is a subset on Spatial reasoning about object arrangements and relations."
musr_team_allocation,"Multistep Soft Reasoning (MuSR) evaluates models’ ability to perform reasoning and understanding over long texts, requiring multi-step inference and long-context comprehension.

This is a subset on Reasoning about constraints and optimization in team allocation tasks."
NQ,
OpenBookQA,"OpenBookQA is a multiple-choice question-answering dataset designed to evaluate understanding of elementary-level science through open book exam-style questions. It contains nearly 6,000 questions that require applying a small set of core science facts to novel scenarios, supplemented by broad common knowledge beyond the core facts. The dataset includes training mappings from questions to the core facts they test, as well as crowd-sourced common knowledge facts. It is challenging for simple retrieval or word co-occurrence methods, encouraging development of reasoning and knowledge integration in AI systems."
OpenBookQA (10-shot),
OpenBookQA 10-shot,
PIQA,"PIQA is a dataset for commonsense reasoning, and was created to investigate the physical knowledge of existing models in NLP. Source:"
PIQA (0-shot),
PIQA (5-shot),
PIQA 5-shot,
PopQA,"PopQA is an open-domain question answering dataset containing approximately 14,000 question-answer pairs. Each pair is annotated with fine-grained Wikidata entity identifiers, Wikipedia page view statistics, and relationship type information, enabling detailed entity-centric reasoning and analysis. The dataset supports research in knowledge-based question answering and entity linking tasks."
PopQA (15 shot),
TriviaQA,"TriviaQA is a large-scale text-based question answering dataset containing over 650,000 question-answer pairs with corresponding evidence documents from Wikipedia and the web. It is designed to be more challenging than traditional QA datasets, as answers may not be directly extractable as text spans and require reasoning over long and diverse contexts. The dataset includes both human-verified and automatically generated question-answer pairs, supporting research in complex reading comprehension and open-domain question answering tasks."
TriviaQA 5-shot,
