model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
aiknowyou/it-emotion-analyzer,bert-base-uncased,dair-ai/emotion,0.828,text-classification,,,,,2023-03-23T10:56:15.000Z,,7,finetune
ExecuteAutomation/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-01-20T04:25:21.000Z,,7,finetune
berwart/Emotion,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-01-23T11:05:30.000Z,,6,finetune
shivvamm/emotion-distilbert-finetuned,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-06-16T18:21:43.000Z,,6,finetune
kirapika2/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.939,text-classification,2e-05,64,2.0,,2026-01-18T14:17:00.000Z,,6,finetune
sonia12138/bert-base-uncased-emotion-fituned,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2023-11-15T02:43:10.000Z,,5,finetune
sonia12138/bert-base-uncased-emotion-fituned,bert-base-uncased,emotion,,text-classification,,,,,2023-11-15T02:43:10.000Z,,5,finetune
bert-base-uncased,,emotion,,text-classification,,,,,2023-11-15T02:43:10.000Z,,,lineage
iMahdiGhazavi/NLP_HF_Workshop_HW,roberta-base,dair-ai/emotion,,text-classification,,,,,2024-03-06T19:54:45.000Z,,5,finetune
mehmet0sahinn/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-08-04T07:20:34.000Z,,5,finetune
maxpicy/modernbert-large-emotion-balanced,,dair-ai/emotion,,text-classification,,,,,2026-04-17T06:09:16.000Z,,5,finetune
Cesar42/bert-base-uncased-emotion_v2,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2023-11-15T21:03:15.000Z,,4,finetune
Cesar42/xlm-roberta-emotion-es,xlm-roberta-base,dair-ai/emotion,,text-classification,,,,,2023-11-15T21:06:59.000Z,,4,finetune
xlm-roberta-base,,dair-ai/emotion,,text-classification,,,,,2023-11-15T21:06:59.000Z,,,lineage
Yanni8/bert-emotions,bert-base-uncased,dair-ai/emotion,,text-classification,2e-05,8,12.0,,2023-11-27T18:45:30.000Z,,4,finetune
Yanni8/bert-emotions,bert-base-uncased,emotion,,text-classification,2e-05,8,12.0,,2023-11-27T18:45:30.000Z,,4,finetune
farzanrahmani/NLP_HF_Workshop_HW,,dair-ai/emotion,,text-classification,,,,,2024-03-06T19:58:34.000Z,,4,finetune
aricl/minilm-finetuned-emotion,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2024-04-11T12:32:21.000Z,,4,finetune
Dimi-G/roberta-base-emotion,roberta-base,dair-ai/emotion,,text-classification,,,,,2024-06-20T21:56:47.000Z,,4,finetune
AnkitAI/deberta-v3-small-base-emotions-classifier,microsoft/deberta-v2-xlarge,dair-ai/emotion,,text-classification,,,,,2024-07-09T11:15:00.000Z,,4,finetune
KodySimpson/emotion-classifier-demo,bert-base-uncased,dair-ai/emotion,0.8915,text-classification,5e-05,16,5.0,,2025-06-14T21:38:13.000Z,,4,finetune
punithreddy-ai/bert-emotion-classifier,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-05-17T14:09:27.000Z,,4,finetune
nickprock/keras-emotions-classificator,,dair-ai/emotion,,text-classification,,,,,2024-07-29T08:08:57.000Z,,3,finetune
WasuratS/wasurats_emotional_classification_model,roberta-base,dair-ai/emotion,,text-classification,,,,,2023-10-19T08:15:44.000Z,,3,finetune
Amin24/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2023-11-25T04:51:48.000Z,,3,finetune
jnacosta/emotion-classifc,roberta-base,dair-ai/emotion,0.9375,text-classification,,,,,2024-11-09T01:50:13.000Z,,3,finetune
YourBestBuddy/results,distilbert-base-uncased,dair-ai/emotion,0.942,text-classification,5e-05,256,5.0,,2024-11-21T04:16:18.000Z,,3,finetune
saravp123/bert-base-uncased-text-classification-model,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-07-06T16:21:15.000Z,,3,finetune
AlmondTea/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-07-28T07:20:49.000Z,,3,finetune
gabe-zhang/twitter-emotion-bert,bert-base-uncased,dair-ai/emotion,0.9385,text-classification,1e-05,,,,2026-03-07T06:17:24.000Z,,3,finetune
logakarthikeyan/motion_distilbert_model,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-03-15T06:34:09.000Z,,3,finetune
neuron-01/emotion_classifier_for_text-roberta-base,roberta-base,dair-ai/emotion,,text-classification,,,,,2026-03-20T14:13:35.000Z,,3,finetune
abdullahmg/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-03-30T07:28:15.000Z,,3,finetune
Sukuna404/modernbert-emotion-qat-int8,,dair-ai/emotion,,text-classification,,,,,2026-05-12T23:04:06.000Z,,3,finetune
umarsajjad1992/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2023-06-15T07:49:43.000Z,,2,finetune
sabre-code/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,5e-05,32,3.0,,2023-08-23T22:19:49.000Z,,2,finetune
sabre-code/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,,text-classification,5e-05,32,3.0,,2023-08-23T22:19:49.000Z,,2,finetune
kamyar-moradian/NLP_HF_Workshop,roberta-base,dair-ai/emotion,,text-classification,,,,,2024-03-07T16:41:04.000Z,,2,finetune
ff112/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.937,text-classification,2e-05,16,2.0,,2024-08-24T19:56:14.000Z,,2,finetune
Prikshit7766/bert-base-uncased-emotion,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2024-11-30T18:19:32.000Z,,2,finetune
Zoopa/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2024-11-21T03:22:09.000Z,,2,finetune
yurongzhong/LLMBook_distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.928,text-classification,2e-05,64,2.0,,2025-01-01T10:43:57.000Z,,2,finetune
srvmishra832/emotions-dataset-distilbert-base-uncased,distilbert-base-uncased,dair-ai/emotion,0.9265,text-classification,2e-05,64,5.0,,2025-03-27T13:53:29.000Z,,2,finetune
avanishd/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.9235,text-classification,2e-05,64,2.0,,2025-04-09T01:12:09.000Z,,2,finetune
avanishd/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,2e-05,64,2.0,,2025-04-09T01:12:09.000Z,,2,finetune
Kunalkaushik1981/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-05-06T15:37:23.000Z,,2,finetune
ayushtak/emotion-classifer-roberta,roberta-base,dair-ai/emotion,,text-classification,,,,,2025-07-04T14:38:08.000Z,,2,finetune
Mohammed-Hamza/distilbert-base-uncased_finetunned_english_emotions,distilbert-base-uncased,dair-ai/emotion,,text-classification,5e-05,32,5.0,,2025-07-13T12:15:43.000Z,,2,finetune
Mohammed-Hamza/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,text-classification,2e-05,16,2.0,,2025-08-18T08:21:55.000Z,,2,finetune
abdullahzahran/distilbert-base-uncased-finetuned-by-Zahran,distilbert-base-uncased,dair-ai/emotion,0.9345,text-classification,2e-05,32,2.0,,2025-08-18T19:10:59.000Z,,2,finetune
serverdaun/emotion-distilbert-finetuned,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-09-08T10:45:47.000Z,,2,finetune
Jyotiprakash4357/bert_base_uncased_text-classification-model,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-09-14T17:58:16.000Z,,2,finetune
aggie/emotion-classifier-xtremedistil-l6-h256-uncased-ONNX,,dair-ai/emotion,,text-classification,,,,,2025-10-17T10:01:07.000Z,,2,finetune
huyisme-005/bert-emotion,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-11-28T02:04:14.000Z,,2,finetune
kesavanguru/distilbert-finetuned-model,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-01-17T13:39:01.000Z,,2,finetune
MamtaNimel/bert-base-text-classification-model,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-03-11T06:46:09.000Z,,2,finetune
cyberboyayush/emotion-distilbert,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-04-12T19:44:21.000Z,,2,finetune
maxpicy/modernbert-base-emotion-balanced,,dair-ai/emotion,,text-classification,,,,,2026-04-17T06:10:51.000Z,,2,finetune
Sarjinkhan2003/moodshift-roberta-esa-tfidf-focal,,dair-ai/emotion,,text-classification,,,,,2026-04-30T08:10:28.000Z,,2,finetune
Sarjinkhan2003/moodshift-roberta-llm-augmented,,dair-ai/emotion,,text-classification,,,,,2026-04-30T11:33:30.000Z,,2,finetune
harshaojha/distilbert-emotion-finetuned,distilbert-base-uncased,dair-ai/emotion,0.9329999999999999,text-classification,,,,,2026-05-08T12:48:35.000Z,,2,finetune
2O24dpower2024/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.926,text-classification,2e-05,64,2.0,,2024-08-29T09:54:00.000Z,,1,finetune
ale-dp/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.9335,text-classification,2e-05,64,2.0,,2024-02-24T08:34:25.000Z,,1,finetune
Parth1612/pp_albert_ft_emotions,albert-base-v2,dair-ai/emotion,,text-classification,,,,,2024-03-11T04:58:20.000Z,,1,finetune
albert-base-v2,,dair-ai/emotion,,text-classification,,,,,2024-03-11T04:58:20.000Z,,,lineage
leonvanbokhorst/emotion-gpt2-lora-merged,,dair-ai/emotion,,text-classification,,,,,2024-05-05T09:37:14.000Z,,1,finetune
AnkitAI/deberta-xlarge-base-emotions-classifier,microsoft/deberta-base,dair-ai/emotion,,text-classification,,,,,2024-07-09T11:36:08.000Z,,1,finetune
microsoft/deberta-base,,dair-ai/emotion,,text-classification,,,,,2024-07-09T11:36:08.000Z,,,lineage
issamuxs/ft-test-distilbert,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2024-09-10T16:59:31.000Z,,1,finetune
MatthewB245/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,0.966,text-classification,5e-05,,,,2024-11-23T03:09:17.000Z,,1,finetune
SandeepVvigneshwar/sentiment-classification-albert-large-v2,albert-base-v2,dair-ai/emotion,,text-classification,,,,,2025-03-21T13:29:59.000Z,,1,finetune
naveenramacharya/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-04-17T17:29:29.000Z,,1,finetune
Zeel22/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.93,text-classification,2e-05,64,2.0,,2025-04-22T09:03:58.000Z,,1,finetune
23daVinci/distilbert-base-uncased_finetuned_emotions,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-05-18T10:31:29.000Z,,1,finetune
HashiruGunathilake/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,dair-ai/emotion,0.9425,text-classification,2e-05,64,3.0,,2025-09-21T00:43:12.000Z,,1,finetune
SkyAsl/Bert-Emotion_classifier,bert-base-uncased,dair-ai/emotion,0.94,text-classification,,,,,2025-10-27T08:31:22.000Z,,1,finetune
UMUTeam/roberta-emotion-en,roberta-base,dair-ai/emotion,,text-classification,,,,,2026-05-01T22:11:39.000Z,,1,finetune
huyisme-005/roberta-emotion,roberta-base,dair-ai/emotion,,text-classification,,,,,2025-11-28T02:03:18.000Z,,1,finetune
qarnold/MiniLM-L12-H384-emotion,bert-base-uncased,dair-ai/emotion,0.93,text-classification,5e-05,32,3.0,,2025-12-01T19:41:47.000Z,,1,finetune
HitkarMiglani/sentiment-model,distilbert-base-uncased,dair-ai/emotion,0.94,text-classification,2e-05,16,10.0,,2025-12-25T13:47:29.000Z,,1,finetune
nikk118/minilm-finetuned-emotion,bert-base-uncased,dair-ai/emotion,,text-classification,2e-05,,,,2026-02-19T14:03:13.000Z,,1,finetune
OmarMaqousi/distilbert-emotion-model,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-03-31T21:41:02.000Z,,1,finetune
OmarMaqousi/distilbert-emotion-model-v2,distilbert-base-uncased,dair-ai/emotion,,text-classification,,,,,2026-04-01T01:59:04.000Z,,1,finetune
Sarjinkhan2003/moodshift-roberta-balanced-4500,,dair-ai/emotion,,text-classification,,,,,2026-05-01T05:17:13.000Z,,1,finetune
TarunSinghal/bert-base-uncased-SetimentAnalysis,,dair-ai/emotion,0.6497,text-classification,,,,,2023-06-14T08:43:29.000Z,,0,finetune
uboza10300/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,,text-classification,5e-05,,,,2024-11-17T07:13:08.000Z,,0,finetune
chocee/distilroberta-base-lora-dair-ai-emotion-multiclassification,,dair-ai/emotion,,text-classification,,,,,2025-01-09T22:18:11.000Z,,0,finetune
DipanjanSanyal/bert-emotion-classifier,bert-base-uncased,dair-ai/emotion,0.93,text-classification,2e-05,16,3.0,,2025-04-29T05:18:12.000Z,,0,finetune
SimoGiuffrida/SentimentRL,,dair-ai/emotion,,text-classification,,,,,2025-06-07T07:14:26.000Z,,0,finetune
skhamzah123/bert_base_uncased_emotion_trained_model_final,bert-base-uncased,dair-ai/emotion,,text-classification,,,,,2025-11-28T16:57:15.000Z,,0,finetune
Pragyansh14/distilbert-emotion-classifier,distilbert-base-uncased,dair-ai/emotion,0.873,text-classification,,,,,2026-06-04T05:30:47.000Z,,0,finetune
