Unnamed: 0,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
305,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
306,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
307,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
308,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
309,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
310,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
311,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
312,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
313,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
314,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
315,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
316,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
317,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
318,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
319,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
320,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
321,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
322,allegro/herbert-base-cased,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
323,minishlab/potion-base-2m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
324,minishlab/potion-multilingual-128M,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
325,minishlab/potion-base-2m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
326,minishlab/potion-base-2m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
327,minishlab/potion-base-32m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
328,minishlab/potion-base-2m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
329,minishlab/potion-base-32m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
330,minishlab/potion-base-8m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
331,minishlab/potion-multilingual-128M,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
332,minishlab/potion-base-32m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
333,minishlab/potion-base-8m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
334,minishlab/potion-multilingual-128M,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
335,minishlab/potion-base-4m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
336,minishlab/potion-base-2m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
337,minishlab/potion-base-32m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
338,minishlab/potion-multilingual-128M,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
339,minishlab/potion-base-8m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
340,minishlab/potion-base-4m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
341,minishlab/potion-base-8m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
342,minishlab/potion-base-4m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
343,minishlab/potion-base-32m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
344,minishlab/potion-base-4m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
345,minishlab/potion-base-8m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
346,minishlab/potion-multilingual-128M,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
347,minishlab/potion-base-4m,ToxicityPrompts/PolyGuardMix,,,text-classification,,,,,,,,,,,,,,,,,,
452,lyrisha/distilbert-base-finetuned-imdb-sentiment,stanfordnlp/imdb,,,text-classification,32.0,,2e-05,,3.0,,,,0.9128,,,,,,,,,
455,roberta-base,stanfordnlp/imdb,,,text-classification,,,2e-05,,,,,,0.89,,,,,,,,,
465,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,1.0,,,,,,,,,
466,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9304,,,,,,,,,
476,google/bert_uncased_L-4_H-256_A-4,stanfordnlp/imdb,,,text-classification,128.0,,3e-05,,200.0,,,,0.9076,,,,,,,,,
479,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,32.0,,2e-05,,4.0,,,,0.908,,,,,,,,,
480,textattack/bert-base-uncased-imdb,stanfordnlp/imdb,,,text-classification,32.0,,5e-05,,3.0,,,,0.9209,,,,,,,,,
481,versae/gzip-bert,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,5.0,,,,0.5,,,,,,,,,
483,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
493,versae/gzip-bert,stanfordnlp/imdb,,,text-classification,16.0,,2e-06,,5.0,,,,0.5095,,,,,,,,,
494,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9326,,,,,,,,,
495,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.87,,,,,,,,,
496,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,5.0,,,,0.9315,,,,,,,,,
497,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9294,,,,,,,,,
499,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
507,distilbert/distilbert-base-cased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
532,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9314,,,,,,,,,
534,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
535,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,24.0,,2e-05,,1.0,,,,0.9274,,,,,,,,,
536,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,5.0,,,,0.93,,,,,,,,,
537,distilbert-base-cased,stanfordnlp/imdb,,,text-classification,32.0,,5e-05,,0.5,,,,,,,,,,,,,
538,bert-base-cased,stanfordnlp/imdb,,,text-classification,32.0,,2e-05,,2.0,,,,0.9327,,,,,,,,,
539,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9314,,,,,,,,,
540,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9314,,,,,,,,,
541,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.933,,,,,,,,,
542,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9323,,,,,,,,,
543,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9405,,,,,,,,,
544,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9372,,,,,,,,,
545,roberta-base,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9528,,,,,,,,,
546,roberta-base,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.948,,,,,,,,,
547,microsoft/MiniLM-L12-H384-uncased,stanfordnlp/imdb,,,text-classification,4.0,,2e-05,,3.0,,,,0.9229,,,,,,,,,
549,bert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
550,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
551,roberta-base,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
554,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,2e-05,,,,,,,,,,,,,,,
570,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
634,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8733,,,,,,,,,
635,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,5.0,,,,0.9329,,,,,,,,,
636,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8767,,,,,,,,,
637,sentence-transformers/all-MiniLM-L6-v2,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.82,,,,,,,,,
638,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8733,,,,,,,,,
639,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8633,,,,,,,,,
641,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9063,,,,,,,,,
642,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9133,,,,,,,,,
643,roberta-base,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,1.0,,,,,,,,,
644,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9327,,,,,,,,,
645,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8767,,,,,,,,,
646,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.87,,,,,,,,,
649,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
650,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.917,,,,,,,,,
654,roberta-base,stanfordnlp/imdb,,,text-classification,4.0,,5e-05,,3.0,,,,0.9133,,,,,,,,,
655,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9407,,,,,,,,,
656,cardiffnlp/twitter-roberta-base-sentiment-latest,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9288,,,,,,,,,
657,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9312,,,,,,,,,
658,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,10.0,,,,0.89,,,,,,,,,
659,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9326,,,,,,,,,
660,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,0.01,,,,0.8067,,,,,,,,,
661,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,,,,,,,,,,
662,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8533,,,,,,,,,
663,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9156,,,,,,,,,
664,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9318,,,,,,,,,
665,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9313,,,,,,,,,
666,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.93,,,,,,,,,
667,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9321,,,,,,,,,
668,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9195,,,,,,,,,
669,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9284,,,,,,,,,
671,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.916,,,,,,,,,
672,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,2e-05,,2.0,,,,0.84,,,,,,,,,
673,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.87,,,,,,,,,
674,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8667,,,,,,,,,
675,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.88,,,,,,,,,
676,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.87,,,,,,,,,
677,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,,,,,,,,,,
678,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.86,,,,,,,,,
679,gpt2,stanfordnlp/imdb,,,text-classification,4.0,,5e-05,,3.0,,,,0.9331,,,,,,,,,
680,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.974,,,,,,,,,
681,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,64.0,,2e-05,,3.0,,,,0.8774,,,,,,,,,
682,allenai/longformer-base-4096,stanfordnlp/imdb,,,text-classification,4.0,,2e-05,,2.0,,,,0.9553,,,,,,,,,
683,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,10.0,,,,0.9351,,,,,,,,,
684,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,10.0,,,,0.9335,,,,,,,,,
685,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,,,,,,,,,,
686,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9318,,,,,,,,,
687,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,2e-05,,2.0,,,,0.9321,,,,,,,,,
688,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.87,,,,,,,,,
689,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8633,,,,,,,,,
690,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8567,,,,,,,,,
691,albert-base-v2,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9,,,,,,,,,
692,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,1.0,,,,0.9269,,,,,,,,,
693,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8567,,,,,,,,,
694,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9305,,,,,,,,,
695,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9398,,,,,,,,,
696,bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9394,,,,,,,,,
697,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,5e-05,,3.0,,,,0.8733,,,,,,,,,
698,roberta-base,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,20.0,,,,0.9496,,,,,,,,,
699,bert-base-cased,stanfordnlp/imdb,,,text-classification,8.0,,5e-05,,2.0,,,,0.77,,,,,,,,,
702,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,32.0,,5e-05,,5.0,,,,0.8591,,,,,,,,,
704,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.8833,,,,,,,,,
706,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
707,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
733,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1026,microsoft/deberta-v3-large,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1029,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,5.0,,,,0.9015,,,,,,,,,
1030,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9375,,,,,,,,,
1031,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9375,,,,,,,,,
1032,bert-base-cased,dair-ai/emotion,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1035,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1039,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1040,distilbert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1041,distilbert-base-uncased,dair-ai/emotion,,,text-classification,256.0,,5e-05,,5.0,,,,0.942,,,,,,,,,
1042,distilbert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,5e-05,,3.0,,,,0.941,,,,,,,,,
1044,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1045,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1049,FacebookAI/roberta-base,dair-ai/emotion,,,text-classification,,,,,,,,,0.9375,,,,,,,,,
1051,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1052,prajjwal1/bert-tiny,dair-ai/emotion,,,text-classification,16.0,,5e-05,,5.0,,,,0.8915,,,,,,,,,
1054,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,5e-05,,3.0,,,,,,,,,,,,,
1055,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,5e-05,,3.0,,,,,,,,,,,,,
1060,bert-base-uncased,dair-ai/emotion,,,text-classification,8.0,,2e-05,,12.0,,,,,,,,,,,,,
1061,bert-base-uncased,dair-ai/emotion,,,text-classification,8.0,,2e-05,,12.0,,,,,,,,,,,,,
1062,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9335,,,,,,,,,
1063,distilbert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,2e-05,,2.0,,,,0.937,,,,,,,,,
1064,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,5.0,,,,0.9265,,,,,,,,,
1065,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1066,bert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,2e-05,,3.0,,,,0.93,,,,,,,,,
1067,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1068,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1069,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.9425,,,,,,,,,
1070,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1075,albert/albert-large-v2,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1076,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.93,,,,,,,,,
1077,FacebookAI/roberta-base,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1078,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,5e-05,,5.0,,,,,,,,,,,,,
1079,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1080,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,0.94,,,,,,,,,
1082,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1083,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,32.0,,5e-05,,3.0,,,,0.93,,,,,,,,,
1086,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.928,,,,,,,,,
1087,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1088,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1089,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1090,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,2e-05,,2.0,,,,,,,,,,,,,
1091,microsoft/xtremedistil-l6-h256-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1093,google-bert/bert-base-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1094,distilbert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,2e-05,,10.0,,,,0.94,,,,,,,,,
1096,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,2.0,,,,0.9345,,,,,,,,,
1097,FacebookAI/roberta-base,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1100,distilbert/distilroberta-base,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1105,answerdotai/ModernBERT-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1109,answerdotai/ModernBERT-large,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1114,Prasadrao/xlm-roberta-large-go-emotions-v2,google-research-datasets/go_emotions,,,text-classification,16.0,,2e-05,,2.0,,,,0.4534,,,,,,,,,
1115,FacebookAI/roberta-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1116,FacebookAI/roberta-large,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1119,bert-base-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1126,microsoft/xtremedistil-l6-h256-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1148,google-bert/bert-large-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,0.38,,,,,,,,,
1158,roberta-large,google-research-datasets/go_emotions,,,text-classification,64.0,,5e-05,,4.0,,,,0.4589,,,,,,,,,
1166,sentence-transformers/paraphrase-mpnet-base-v2,google-research-datasets/go_emotions,,,text-classification,,,2e-05,,,,,,,,,,,,,,,
1284,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1285,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,2e-05,,5.0,,,,0.9327,,,,,,,,,
1287,meta-llama/Llama-3.2-1B,stanfordnlp/imdb,,,text-classification,,,,,,,,,0.9999,,,,,,,,,
1289,state-spaces/mamba-130m-hf,stanfordnlp/imdb,,,text-classification,8.0,,5e-05,,5.0,,,,0.9454,,,,,,,,,
1290,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
