model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads
gizemkrbck/autotrain-su48d-nmivw,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-02-27T19:01:25.000Z,,31
pngwn/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-10T09:09:05.000Z,,27
esuriddick/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.9375,sequence_classification,5e-05,64,2.0,,2023-09-12T07:53:07.000Z,,26
esuriddick/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9375,sequence_classification,5e-05,64,2.0,,2023-09-12T07:53:07.000Z,,26
erlend123/emotion-analysis,distilbert-base-uncased,dair-ai/emotion,0.9015,sequence_classification,2e-05,32,5.0,,2024-04-19T13:59:55.000Z,,25
LaelaZ/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-04T11:35:51.000Z,,25
lllllyyyyyqqqqq/25803070128-liuyuqian-hw2-emotion-distilbert,distilbert-base-uncased,dair-ai/emotion,0.9435,sequence_classification,2e-05,,,,2026-06-02T14:28:24.000Z,,24
tsid7710/distillbert-emotion-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-11-06T02:17:15.000Z,,23
YonasMersha/fine-tuned-distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,0.941,sequence_classification,5e-05,16,3.0,,2025-05-01T15:14:54.000Z,,12
G25AIT2134/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,5e-05,,,,2026-06-10T18:39:08.000Z,,11
IsmaelMousa/bert-finetuned-emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,5e-05,8,3.0,,2024-05-15T15:15:35.000Z,,8
aiknowyou/it-emotion-analyzer,bert-base-uncased,dair-ai/emotion,0.828,sequence_classification,,,,,2023-03-23T10:56:15.000Z,,7
ExecuteAutomation/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-01-20T04:25:21.000Z,,7
berwart/Emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-01-23T11:05:30.000Z,,6
shivvamm/emotion-distilbert-finetuned,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-06-16T18:21:43.000Z,,6
kirapika2/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.939,sequence_classification,2e-05,64,2.0,,2026-01-18T14:17:00.000Z,,6
sonia12138/bert-base-uncased-emotion-fituned,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2023-11-15T02:43:10.000Z,,5
sonia12138/bert-base-uncased-emotion-fituned,bert-base-uncased,emotion,,sequence_classification,,,,,2023-11-15T02:43:10.000Z,,5
iMahdiGhazavi/NLP_HF_Workshop_HW,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2024-03-06T19:54:45.000Z,,5
mehmet0sahinn/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-08-04T07:20:34.000Z,,5
maxpicy/modernbert-large-emotion-balanced,,dair-ai/emotion,,sequence_classification,,,,,2026-04-17T06:09:16.000Z,,5
Cesar42/bert-base-uncased-emotion_v2,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2023-11-15T21:03:15.000Z,,4
Cesar42/xlm-roberta-emotion-es,xlm-roberta-base,dair-ai/emotion,,sequence_classification,,,,,2023-11-15T21:06:59.000Z,,4
Yanni8/bert-emotions,bert-base-uncased,dair-ai/emotion,,sequence_classification,2e-05,8,12.0,,2023-11-27T18:45:30.000Z,,4
Yanni8/bert-emotions,bert-base-uncased,emotion,,sequence_classification,2e-05,8,12.0,,2023-11-27T18:45:30.000Z,,4
farzanrahmani/NLP_HF_Workshop_HW,,dair-ai/emotion,,sequence_classification,,,,,2024-03-06T19:58:34.000Z,,4
aricl/minilm-finetuned-emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2024-04-11T12:32:21.000Z,,4
Dimi-G/roberta-base-emotion,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2024-06-20T21:56:47.000Z,,4
AnkitAI/deberta-v3-small-base-emotions-classifier,microsoft/deberta-v2-xlarge,dair-ai/emotion,,sequence_classification,,,,,2024-07-09T11:15:00.000Z,,4
KodySimpson/emotion-classifier-demo,bert-base-uncased,dair-ai/emotion,0.8915,sequence_classification,5e-05,16,5.0,,2025-06-14T21:38:13.000Z,,4
punithreddy-ai/bert-emotion-classifier,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-05-17T14:09:27.000Z,,4
nickprock/keras-emotions-classificator,,dair-ai/emotion,,sequence_classification,,,,,2024-07-29T08:08:57.000Z,,3
WasuratS/wasurats_emotional_classification_model,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2023-10-19T08:15:44.000Z,,3
Amin24/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2023-11-25T04:51:48.000Z,,3
jnacosta/emotion-classifc,roberta-base,dair-ai/emotion,0.9375,sequence_classification,,,,,2024-11-09T01:50:13.000Z,,3
YourBestBuddy/results,distilbert-base-uncased,dair-ai/emotion,0.942,sequence_classification,5e-05,256,5.0,,2024-11-21T04:16:18.000Z,,3
saravp123/bert-base-uncased-text-classification-model,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-07-06T16:21:15.000Z,,3
AlmondTea/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-07-28T07:20:49.000Z,,3
gabe-zhang/twitter-emotion-bert,bert-base-uncased,dair-ai/emotion,0.9385,sequence_classification,1e-05,,,,2026-03-07T06:17:24.000Z,,3
logakarthikeyan/motion_distilbert_model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-03-15T06:34:09.000Z,,3
neuron-01/emotion_classifier_for_text-roberta-base,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2026-03-20T14:13:35.000Z,,3
abdullahmg/distilbert-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-03-30T07:28:15.000Z,,3
Sukuna404/modernbert-emotion-qat-int8,,dair-ai/emotion,,sequence_classification,,,,,2026-05-12T23:04:06.000Z,,3
umarsajjad1992/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2023-06-15T07:49:43.000Z,,2
sabre-code/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,5e-05,32,3.0,,2023-08-23T22:19:49.000Z,,2
sabre-code/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,,sequence_classification,5e-05,32,3.0,,2023-08-23T22:19:49.000Z,,2
kamyar-moradian/NLP_HF_Workshop,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2024-03-07T16:41:04.000Z,,2
ff112/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.937,sequence_classification,2e-05,16,2.0,,2024-08-24T19:56:14.000Z,,2
Prikshit7766/bert-base-uncased-emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2024-11-30T18:19:32.000Z,,2
Zoopa/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2024-11-21T03:22:09.000Z,,2
yurongzhong/LLMBook_distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.928,sequence_classification,2e-05,64,2.0,,2025-01-01T10:43:57.000Z,,2
srvmishra832/emotions-dataset-distilbert-base-uncased,distilbert-base-uncased,dair-ai/emotion,0.9265,sequence_classification,2e-05,64,5.0,,2025-03-27T13:53:29.000Z,,2
avanishd/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.9235,sequence_classification,2e-05,64,2.0,,2025-04-09T01:12:09.000Z,,2
avanishd/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9235,sequence_classification,2e-05,64,2.0,,2025-04-09T01:12:09.000Z,,2
Kunalkaushik1981/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-05-06T15:37:23.000Z,,2
ayushtak/emotion-classifer-roberta,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2025-07-04T14:38:08.000Z,,2
Mohammed-Hamza/distilbert-base-uncased_finetunned_english_emotions,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,5e-05,32,5.0,,2025-07-13T12:15:43.000Z,,2
Mohammed-Hamza/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,2e-05,16,2.0,,2025-08-18T08:21:55.000Z,,2
abdullahzahran/distilbert-base-uncased-finetuned-by-Zahran,distilbert-base-uncased,dair-ai/emotion,0.9345,sequence_classification,2e-05,32,2.0,,2025-08-18T19:10:59.000Z,,2
serverdaun/emotion-distilbert-finetuned,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-09-08T10:45:47.000Z,,2
Jyotiprakash4357/bert_base_uncased_text-classification-model,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-09-14T17:58:16.000Z,,2
aggie/emotion-classifier-xtremedistil-l6-h256-uncased-ONNX,,dair-ai/emotion,,sequence_classification,,,,,2025-10-17T10:01:07.000Z,,2
huyisme-005/bert-emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-11-28T02:04:14.000Z,,2
kesavanguru/distilbert-finetuned-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-01-17T13:39:01.000Z,,2
MamtaNimel/bert-base-text-classification-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-03-11T06:46:09.000Z,,2
cyberboyayush/emotion-distilbert,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-04-12T19:44:21.000Z,,2
maxpicy/modernbert-base-emotion-balanced,,dair-ai/emotion,,sequence_classification,,,,,2026-04-17T06:10:51.000Z,,2
Sarjinkhan2003/moodshift-roberta-esa-tfidf-focal,,dair-ai/emotion,,sequence_classification,,,,,2026-04-30T08:10:28.000Z,,2
Sarjinkhan2003/moodshift-roberta-llm-augmented,,dair-ai/emotion,,sequence_classification,,,,,2026-04-30T11:33:30.000Z,,2
harshaojha/distilbert-emotion-finetuned,distilbert-base-uncased,dair-ai/emotion,0.9329999999999999,sequence_classification,,,,,2026-05-08T12:48:35.000Z,,2
2O24dpower2024/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.926,sequence_classification,2e-05,64,2.0,,2024-08-29T09:54:00.000Z,,1
ale-dp/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.9335,sequence_classification,2e-05,64,2.0,,2024-02-24T08:34:25.000Z,,1
Parth1612/pp_albert_ft_emotions,albert-base-v2,dair-ai/emotion,,sequence_classification,,,,,2024-03-11T04:58:20.000Z,,1
leonvanbokhorst/emotion-gpt2-lora-merged,,dair-ai/emotion,,sequence_classification,,,,,2024-05-05T09:37:14.000Z,,1
AnkitAI/deberta-xlarge-base-emotions-classifier,microsoft/deberta-base,dair-ai/emotion,,sequence_classification,,,,,2024-07-09T11:36:08.000Z,,1
issamuxs/ft-test-distilbert,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2024-09-10T16:59:31.000Z,,1
MatthewB245/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,0.966,sequence_classification,5e-05,,,,2024-11-23T03:09:17.000Z,,1
SandeepVvigneshwar/sentiment-classification-albert-large-v2,albert-base-v2,dair-ai/emotion,,sequence_classification,,,,,2025-03-21T13:29:59.000Z,,1
naveenramacharya/bert-base-text-classification-model,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-04-17T17:29:29.000Z,,1
Zeel22/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,dair-ai/emotion,0.93,sequence_classification,2e-05,64,2.0,,2025-04-22T09:03:58.000Z,,1
23daVinci/distilbert-base-uncased_finetuned_emotions,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-05-18T10:31:29.000Z,,1
HashiruGunathilake/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,dair-ai/emotion,0.9425,sequence_classification,2e-05,64,3.0,,2025-09-21T00:43:12.000Z,,1
SkyAsl/Bert-Emotion_classifier,bert-base-uncased,dair-ai/emotion,0.94,sequence_classification,,,,,2025-10-27T08:31:22.000Z,,1
UMUTeam/roberta-emotion-en,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2026-05-01T22:11:39.000Z,,1
huyisme-005/roberta-emotion,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2025-11-28T02:03:18.000Z,,1
qarnold/MiniLM-L12-H384-emotion,bert-base-uncased,dair-ai/emotion,0.93,sequence_classification,5e-05,32,3.0,,2025-12-01T19:41:47.000Z,,1
HitkarMiglani/sentiment-model,distilbert-base-uncased,dair-ai/emotion,0.94,sequence_classification,2e-05,16,10.0,,2025-12-25T13:47:29.000Z,,1
nikk118/minilm-finetuned-emotion,bert-base-uncased,dair-ai/emotion,,sequence_classification,2e-05,,,,2026-02-19T14:03:13.000Z,,1
OmarMaqousi/distilbert-emotion-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-03-31T21:41:02.000Z,,1
OmarMaqousi/distilbert-emotion-model-v2,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-04-01T01:59:04.000Z,,1
Sarjinkhan2003/moodshift-roberta-balanced-4500,,dair-ai/emotion,,sequence_classification,,,,,2026-05-01T05:17:13.000Z,,1
TarunSinghal/bert-base-uncased-SetimentAnalysis,,dair-ai/emotion,0.6497,sequence_classification,,,,,2023-06-14T08:43:29.000Z,,0
uboza10300/emotion-classification-model,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,5e-05,,,,2024-11-17T07:13:08.000Z,,0
chocee/distilroberta-base-lora-dair-ai-emotion-multiclassification,,dair-ai/emotion,,sequence_classification,,,,,2025-01-09T22:18:11.000Z,,0
DipanjanSanyal/bert-emotion-classifier,bert-base-uncased,dair-ai/emotion,0.93,sequence_classification,2e-05,16,3.0,,2025-04-29T05:18:12.000Z,,0
SimoGiuffrida/SentimentRL,,dair-ai/emotion,,sequence_classification,,,,,2025-06-07T07:14:26.000Z,,0
skhamzah123/bert_base_uncased_emotion_trained_model_final,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2025-11-28T16:57:15.000Z,,0
Pragyansh14/distilbert-emotion-classifier,distilbert-base-uncased,dair-ai/emotion,0.873,sequence_classification,,,,,2026-06-04T05:30:47.000Z,,0
zanesmit29/founder-roberta-emotion-v1,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2026-06-16T08:58:57.000Z,,0
AdapterHub/bert-base-uncased-pf-boolq,,google/boolq,,sequence_classification,,,,,2024-05-10T14:15:06.000Z,,12
AdapterHub/roberta-base-pf-boolq,,google/boolq,,sequence_classification,,,,,2024-05-10T14:15:23.000Z,,8
pranay-j/bert-base-uncased-google-boolq,bert-base-uncased,google/boolq,0.715,sequence_classification,2e-05,16,4.0,,2024-05-01T04:24:14.000Z,,5
enguard/tiny-guard-4m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:43:39.000Z,,20
enguard/tiny-guard-8m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:43:22.000Z,,17
enguard/small-guard-32m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:44:38.000Z,,17
enguard/tiny-guard-8m-en-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:52:16.000Z,,17
enguard/small-guard-32m-en-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:35:47.000Z,,16
enguard/small-guard-32m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:40:07.000Z,,16
enguard/tiny-guard-2m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:41:00.000Z,,16
enguard/tiny-guard-2m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:44:19.000Z,,16
enguard/tiny-guard-8m-en-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:46:51.000Z,,16
enguard/medium-guard-128m-xx-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,sequence_classification,,,,,2025-11-05T19:54:21.000Z,,16
enguard/tiny-guard-8m-en-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:37:27.000Z,,15
enguard/medium-guard-128m-xx-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:38:18.000Z,,15
enguard/tiny-guard-2m-en-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,sequence_classification,,,,,2025-11-05T19:43:03.000Z,,15
